name;full_name;description
CCONJ;Conjonction de coordination;"
<p>Ou k&eacute; riv&eacute; a midi <strong>ou </strong>minuit?</p>
<p>An t&eacute; ni on manman <strong>&eacute; </strong>on ti s&egrave; a l&eacute;v&eacute; <strong>donk </strong>mwen an pot&eacute; game</p>
<p><strong>m&eacute; </strong>an p&eacute; pa f&egrave; sa</p>
<p>nou ansanm ansanm, <strong>kon</strong> ploton a bisikl&egrave;t</p>
<p>&nbsp;</p>
<span style=""color: #cf3713;"">ATTENTION</span>
<p>Ne pas confondre avec les conjonctions de subordination SCONJ</p>
<p>&nbsp;</p>"
DET;Déterminant;"
<p>ch&egrave;ch&eacute; la limi&egrave; -<strong>la</strong> y&eacute;</p>
<p>Pr&eacute;par&eacute;&rsquo;y <strong>d&eacute;</strong> ti d&eacute;s&egrave;.</p>
<p>Voiti -<strong>lasa </strong>s&eacute; tan mwen</p>
<p><strong>tout </strong>fanm, <strong>pon</strong> fanm</p>
<p><strong>tou </strong>sa s&eacute; menti</p>
<p>Yon a <strong>s&eacute;</strong> femn <strong>la</strong> k&eacute; r&eacute;t&eacute; a kaz</p>
<p>&nbsp;</p>"
SCONJ;Conjonction de subordination;"
<p><strong>l&egrave; </strong>ou pa ni espwa kay ka r&eacute;t&eacute;&rsquo;w</p>
<p><strong>Pas</strong> yo dw&egrave;t kon pik&eacute; yo pa ka pliy&eacute; !</p>
<p><strong>Si </strong>i la vin vw&egrave; mwen</p>
<p>&nbsp;</p>
<span style=""color: #cf3713;"">ATTENTION</span>
<p>1- <strong>l&egrave;</strong> peut &ecirc;tre PRON, ex : an sav <strong>l&egrave;</strong>/PRON i ka riv&eacute; ([<em>a ki l&egrave; ka riv&eacute; ?</em>])</p>
<p>2-Ne pas confondre avec les conjonctions de coordination CCONJ</p>
<p>&nbsp;</p>"
ADP;Préposition;"
<p><strong>Aka</strong> manman</p>
<p>Vini&rsquo;w<strong> an</strong> bra an mwen</p>
<p>En k&eacute; goum&eacute; <strong>pou</strong> p&eacute;yi en mwen</p>
<p>Chak fwa s&eacute; menm biten la <strong>av&egrave;</strong>&rsquo;w</p>
<p>i pal&eacute; <strong>pendan </strong>conbyen tan</p>
<p>twa z&egrave; <strong>avan </strong>match-la fin</p>
<p>&nbsp;</p>
<span style=""color: #cf3713;"">ATTENTION</span>
<p>Une pr&eacute;position peut &ecirc;tre coll&eacute;e &agrave; un pronom</p>
<p>I t&eacute; ka pal&eacute; ban mwen &eacute; an t&eacute; ka pal&eacute; <strong>ba'y/</strong>ADP+PRON</p>
<p>Profit&eacute; <strong>d&egrave;&rsquo;y</strong><strong>/</strong>ADP+PRON !</p>
<p>&nbsp;</p>"
ADP+PRON;contraction;"
<p>Pa pati <strong>ev&egrave;&rsquo;y</strong>/ADP+PRON</p>
<p>I ka pass&eacute;<strong> douvan&rsquo;w/</strong>ADP+PRON</p>
<p>A pa <strong>ba&rsquo;w</strong>/ADP+PRON en ka pal&eacute;!</p>
<p>&nbsp;</p>"
INTJ;Interjection;"
<p><strong>Ayayaye</strong> !</p>
<p><strong>Timal</strong>!</p>
<p><strong>H&eacute; !</strong></p>
<p><strong>Woulo!</strong></p>
<p>&nbsp;</p>"
NUM;Nombre;"
<p>Sa ka f&egrave; <strong>n&egrave;f</strong> fwa i ka di mwen i k&eacute; vinn</p>
<p>Ti jean f&egrave;t en <strong>1962</strong></p>
<p>i <strong>12h30</strong></p>
<p>An vl&eacute; s&eacute; <strong>d&eacute; </strong>-la</p>
<p>&nbsp;</p>
<span style=""color: #cf3713;"">ATTENTION</span>
<p>pr&eacute;my&eacute;, d&eacute;zy&egrave;m etc. sont des adjectifs.</p>
<p>s&eacute; pr&eacute;my&eacute;/ADJ fwa-la</p>
<p>&nbsp;</p>"
X;Mot étranger;"
<p>Mots &eacute;trangers ex : pawol-la <strong>cat</strong> v&eacute; di chat an angl&eacute;</p>"
PUNCT;Ponctuation;""
AUX;Auxiliaire;"
<p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;""><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">An pa </span><strong><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">bizwen </span></strong><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">al&eacute; kouri</span></p>
<p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;""><strong><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Fo</span></strong><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""> ou sav k&egrave; an sav,s&eacute; subi ou ka sibi sa</span></p>
<p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;""><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">On ven </span><strong><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">p&egrave; </span></strong><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">pas&eacute;, chayi&eacute; tou sa ki ni</span></p>
<p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;"">&nbsp;</p>
<p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;""><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">ATTENTION </span></p>
<p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;""><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">1-Certain auxiliaires peuvent aussi &ecirc;tre des verbes.</span></p>
<p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;""><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">An pas bizwen</span><strong><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">/AUX </span></strong><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">travay</span></p>
<p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;""><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">An bizwen</span><strong><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">/VERB </span></strong><span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">on mosso papi&eacute;</span></p>
<p style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 0pt;"">&nbsp;</p>"
