id;value;CG Validée
205;derfer;ADV
206;a;DET
207;Gschaftsààteil;NOUN
208;vum;ADP
209;Museum;NOUN
210;bikumma;VERB
211;.;PUNCT
212;Dia;DET
213;Bìlder;NOUN
214;sìn;AUX
215;d;DET
216;erschta;ADJ
217;Giater;NOUN
218;vum;ADP
219;züekìnftiga;ADJ
220;Museum;NOUN
221;gsìì;VERB
222;.;PUNCT
223;Dr;DET
224;Goerges;PROPN
225;Ritleng;PROPN
226;ìsch;AUX
227;Ehrapräsidant;NOUN
228;vum;ADP
229;Museum;NOUN
230;worra;VERB
231;.;PUNCT
232;S;DET
233;Museum;NOUN
234;hàt;AUX
235;àm;ADP
236;11.;NUM
237;Mai;NOUN
238;1907;NUM
239;ufgmàcht;VERB
240;.;PUNCT
241;Wahrend'm;ADP
242;erschta;ADJ
243;Waltkriag;NOUN
244;hàt;AUX
245;d;DET
246;ditscha;ADJ
247;Regiarung;NOUN
248;s;DET
249;Museum;NOUN
250;züegmàcht;VERB
251;,;PUNCT
252;wial;SCONJ
253;'s;PRON
254;züe;PART
255;vìel;ADV
256;fer;ADP
257;s;DET
258;Frànkrìch;PROPN
259;igstellt;VERB
260;gsìì;AUX
261;ìsch;AUX
262;.;PUNCT
263;Ànna;ADP
264;1917;NUM
265;hàt;AUX
266;d;DET
267;Stàdt;NOUN
268;Stroßburri;PROPN
269;s;DET
270;Museum;NOUN
271;àbkàuift;VERB
272;.;PUNCT
273;Zwei;NUM
274;Gebäi;NOUN
275;nawadràà;ADV
276;sìn;AUX
277;aui;ADV
278;kàuift;VERB
279;worra;VERB
280;,;PUNCT
281;s;DET
282;Museum;NOUN
283;hàt;AUX
284;sìch;PRON
285;vergreeßert;VERB
286;,;PUNCT
287;ìm;ADP
288;Ràhma;NOUN
289;vu;ADP
290;da;DET
291;Stàdtmuseum;NOUN
292;vu;ADP
293;Stroßburri;PROPN
294;.;PUNCT
295;Zwìscha;ADP
296;1969;NUM
297;un;CONJ
298;1985;NUM
299;hàt;AUX
300;dr;DET
301;Verwàlter;NOUN
302;Georges;PROPN
303;Klein;PROPN
304;Üstellunga;NOUN
305;ìwer;ADP
306;verschìedena;ADJ
307;Thema;NOUN
308;ufbàuia;VERB
309;.;PUNCT
310;Ar;PRON
311;hàt;AUX
312;d;DET
313;Entwìcklung;NOUN
314;vum;ADP
315;Museum;NOUN
316;ìn;ADP
317;da;DET
318;zwei;NUM
319;Gebäi;NOUN
320;nawadràà;ADV
321;gfiahrt;VERB
322;un;CONJ
323;nèia;ADJ
324;Saal;NOUN
325;ufgstellt;VERB
326;.;PUNCT
327;Zwei;NUM
328;Saal;NOUN
329;ìm;ADP
330;drìtta;ADJ
331;Stock;NOUN
332;sìn;AUX
333;làng;ADV
334;ìm;ADP
335;Wark;NOUN
336;vum;ADP
337;Pàschtor;NOUN
338;un;CONJ
339;Pädagoge;NOUN
340;Jean-Frédéric;PROPN
341;Oberlin;PROPN
342;gwìdmet;VERB
343;gsìì;AUX
344;.;PUNCT
345;Wo;PRON
346;,;PUNCT
347;ànna;ADP
348;2003;NUM
349;,;PUNCT
350;s;DET
351;Museum;NOUN
352;Jean-Frédéric;PROPN
353;Oberlin;PROPN
354;z';ADP
355;Waldersbach;PROPN
356;ufgmàcht;VERB
357;hàt;AUX
358;,;PUNCT
359;ìsch;AUX
360;dia;DET
361;Sàmmlung;NOUN
362;därt;ADV
363;ànakumma;VERB
364;.;PUNCT
365;Noh;ADP
366;da;DET
367;Faschter;NOUN
368;vum;ADP
369;100.;NUM
370;Geburstàg;NOUN
371;ànna;ADP
372;2007;NUM
373;,;PUNCT
374;ìsch;AUX
375;s;DET
376;Museum;NOUN
377;renowiart;VERB
378;worra;AUX
379;,;PUNCT
380;fer;ADP
381;ìn;ADP
382;d;DET
383;Sìcherheitsnorma;NOUN
384;ààpàssa;VERB
385;.;PUNCT
386;S;DET
387;Museum;NOUN
388;hàt;AUX
389;àm;ADP
390;15.;NUM
391;Oktower;NOUN
392;2008;NUM
393;wìder;ADV
394;ufgmàcht;VERB
395;.;PUNCT
